id_employee, salary ,salary_currency, salary_in_usd 
3297," 100,000.00 ",USD," 100,000.00 "
3298," 90,000.00 ",USD," 90,000.00 "
3299," 60,000.00 ",USD," 60,000.00 "
3300," 350,000.00 ",USD," 350,000.00 "
3301," 168,000.00 ",USD," 168,000.00 "
3302," 234,900.00 ",USD," 234,900.00 "
3303," 113,500.00 ",USD," 113,500.00 "
3304," 385,000.00 ",USD," 385,000.00 "
3305," 245,000.00 ",USD," 245,000.00 "
3306," 255,000.00 ",USD," 255,000.00 "
3307," 255,000.00 ",USD," 255,000.00 "
3308," 170,200.00 ",USD," 170,200.00 "
3309," 83,900.00 ",USD," 83,900.00 "
3310," 170,200.00 ",USD," 170,200.00 "
3311," 83,900.00 ",USD," 83,900.00 "
3312," 202,500.00 ",USD," 202,500.00 "
3313," 177,500.00 ",USD," 177,500.00 "
3314," 308,000.00 ",USD," 308,000.00 "
3315," 144,000.00 ",USD," 144,000.00 "
3316," 130,000.00 ",USD," 130,000.00 "
3317," 101,570.00 ",USD," 101,570.00 "
3318," 300,000.00 ",USD," 300,000.00 "
3319," 150,000.00 ",USD," 150,000.00 "
3320," 222,200.00 ",USD," 222,200.00 "
3321," 136,000.00 ",USD," 136,000.00 "
3322," 145,000.00 ",USD," 145,000.00 "
3323," 130,000.00 ",USD," 130,000.00 "
3324," 155,000.00 ",USD," 155,000.00 "
3325," 130,000.00 ",USD," 130,000.00 "
3326," 240,000.00 ",USD," 240,000.00 "
3327," 180,000.00 ",USD," 180,000.00 "
3328," 170,200.00 ",USD," 170,200.00 "
3329," 83,900.00 ",USD," 83,900.00 "
3330," 210,000.00 ",USD," 210,000.00 "
3331," 165,000.00 ",USD," 165,000.00 "
3332," 300,000.00 ",USD," 300,000.00 "
3333," 150,000.00 ",USD," 150,000.00 "
3334," 300,000.00 ",USD," 300,000.00 "
3335," 150,000.00 ",USD," 150,000.00 "
3336," 212,800.00 ",USD," 212,800.00 "
3337," 111,600.00 ",USD," 111,600.00 "
3338," 213,600.00 ",USD," 213,600.00 "
3339," 103,200.00 ",USD," 103,200.00 "
3340," 230,000.00 ",USD," 230,000.00 "
3341," 153,000.00 ",USD," 153,000.00 "
3342," 308,000.00 ",USD," 308,000.00 "
3343," 190,400.00 ",USD," 190,400.00 "
3344," 204,000.00 ",USD," 204,000.00 "
3345," 127,500.00 ",USD," 127,500.00 "
3346," 250,000.00 ",USD," 250,000.00 "
3347," 125,000.00 ",USD," 125,000.00 "
3348," 385,000.00 ",USD," 385,000.00 "
3349," 310,000.00 ",USD," 310,000.00 "
3350," 120,000.00 ",USD," 120,000.00 "
3351," 88,000.00 ",USD," 88,000.00 "
3352," 158,000.00 ",USD," 158,000.00 "
3353," 108,000.00 ",USD," 108,000.00 "
3354," 385,000.00 ",USD," 385,000.00 "
3355," 310,000.00 ",USD," 310,000.00 "
3356," 247,300.00 ",USD," 247,300.00 "
3357," 139,700.00 ",USD," 139,700.00 "
3358," 240,000.00 ",USD," 240,000.00 "
3359," 180,000.00 ",USD," 180,000.00 "
3360," 130,000.00 ",USD," 130,000.00 "
3361," 101,570.00 ",USD," 101,570.00 "
3362," 210,000.00 ",USD," 210,000.00 "
3363," 165,000.00 ",USD," 165,000.00 "
3364," 170,200.00 ",USD," 170,200.00 "
3365," 83,900.00 ",USD," 83,900.00 "
3366," 222,200.00 ",USD," 222,200.00 "
3367," 136,000.00 ",USD," 136,000.00 "
3368," 169,000.00 ",USD," 169,000.00 "
3369," 91,000.00 ",USD," 91,000.00 "
3370," 135,000.00 ",USD," 135,000.00 "
3371," 110,000.00 ",USD," 110,000.00 "
3372," 105,000.00 ",GBP," 129,192.00 "
3373," 80,000.00 ",GBP," 98,432.00 "
3374," 300,000.00 ",GBP," 369,120.00 "
3375," 33,063.00 ",GBP," 40,680.00 "
3376," 150,000.00 ",USD," 150,000.00 "
3377," 130,000.00 ",USD," 130,000.00 "
3378," 128,000.00 ",USD," 128,000.00 "
3379," 81,500.00 ",USD," 81,500.00 "
3380," 306,000.00 ",USD," 306,000.00 "
3381," 204,000.00 ",USD," 204,000.00 "
3382," 185,900.00 ",USD," 185,900.00 "
3383," 129,300.00 ",USD," 129,300.00 "
3384," 204,500.00 ",USD," 204,500.00 "
3385," 142,200.00 ",USD," 142,200.00 "
3386," 70,000.00 ",EUR," 75,577.00 "
3387," 18,000.00 ",USD," 18,000.00 "
3388," 300,000.00 ",GBP," 369,120.00 "
3389," 50,000.00 ",GBP," 61,520.00 "
3390," 270,000.00 ",USD," 270,000.00 "
3391," 200,000.00 ",USD," 200,000.00 "
3392," 204,500.00 ",USD," 204,500.00 "
3393," 142,200.00 ",USD," 142,200.00 "
3394," 75,000.00 ",GBP," 92,280.00 "
3395," 55,000.00 ",GBP," 67,672.00 "
3396," 188,600.00 ",USD," 188,600.00 "
3397," 111,550.00 ",USD," 111,550.00 "
3398," 230,000.00 ",USD," 230,000.00 "
3399," 160,000.00 ",USD," 160,000.00 "
3400," 247,300.00 ",USD," 247,300.00 "
3401," 139,700.00 ",USD," 139,700.00 "
3402," 360,000.00 ",USD," 360,000.00 "
3403," 240,000.00 ",USD," 240,000.00 "
3404," 129,100.00 ",USD," 129,100.00 "
3405," 111,400.00 ",USD," 111,400.00 "
3406," 135,000.00 ",USD," 135,000.00 "
3407," 110,000.00 ",USD," 110,000.00 "
3408," 214,500.00 ",USD," 214,500.00 "
