id_employee,job_title, salary ,id_currency, salary_in_usd ,id_work_year,id_experience_level,id_remote_ratio,id_company
33,Data Analyst,"135,000.00",1,"135,000.00",5,1,1,1
34,Data Analyst,"120,000.00",1,"120,000.00",5,1,1,1
35,Data Engineer,"175,000.00",1,"175,000.00",5,1,1,1
36,Data Engineer,"150,000.00",1,"150,000.00",5,1,1,1
37,Data Developer,"100,000.00",1,"100,000.00",5,2,1,1
38,Data Developer,"95,000.00",1,"95,000.00",5,2,1,1
39,Data Analyst,"134,200.00",1,"134,200.00",5,1,3,1
40,Data Analyst,"117,000.00",1,"117,000.00",5,1,3,1
41,Research Scientist,"179,000.00",1,"179,000.00",5,2,1,1
42,Research Scientist,"112,000.00",1,"112,000.00",5,2,1,1
43,Data Architect,"234,000.00",1,"234,000.00",5,1,1,1
44,Data Architect,"146,000.00",1,"146,000.00",5,1,1,1
45,Data Analyst,"75,065.00",1,"75,065.00",5,3,3,1
46,Data Analyst,"41,419.00",1,"41,419.00",5,3,3,1
47,Data Engineer,"107,800.00",1,"107,800.00",5,2,1,1
48,Data Engineer,"61,600.00",1,"61,600.00",5,2,1,1
49,ML Engineer,"324,000.00",1,"324,000.00",5,1,1,1
50,ML Engineer,"159,000.00",1,"159,000.00",5,1,1,1
51,Data Analyst,"80,000.00",1,"80,000.00",5,3,3,1
52,Data Analyst,"75,000.00",1,"75,000.00",5,3,3,1
